n, dr =  1000  ????
ind   r               v               rho             Er
0116  1.09143815E+11  6.79409265E+07  5.18995431E-11  8.94608778E+05
0117  1.09572054E+11  6.84447950E+07  5.11155726E-11  8.81974824E+05
0118  1.10001972E+11  6.89472440E+07  5.03472096E-11  8.69535543E+05
0119  1.10433578E+11  6.94482652E+07  4.95940498E-11  8.57287330E+05
0120  1.10866877E+11  6.99478504E+07  4.88557024E-11  8.45226667E+05
0121  1.11301876E+11  7.04459915E+07  4.81317892E-11  8.33350123E+05
0122  1.11738582E+11  7.09426806E+07  4.74219443E-11  8.21654352E+05
0123  1.12177001E+11  7.14379096E+07  4.67258135E-11  8.10136085E+05
0124  1.12617141E+11  7.19316708E+07  4.60430538E-11  7.98792135E+05
0125  1.13059007E+11  7.24239563E+07  4.53733329E-11  7.87619386E+05
0126  1.13502607E+11  7.29147584E+07  4.47163292E-11  7.76614800E+05
0127  1.13947948E+11  7.34040695E+07  4.40717308E-11  7.65775405E+05
0128  1.14395036E+11  7.38918820E+07  4.34392357E-11  7.55098303E+05
0129  1.14843878E+11  7.43781885E+07  4.28185508E-11  7.44580657E+05
0130  1.15294481E+11  7.48629816E+07  4.22093924E-11  7.34219699E+05
0131  1.15746853E+11  7.53462540E+07  4.16114849E-11  7.24012722E+05
0132  1.16200999E+11  7.58279984E+07  4.10245613E-11  7.13957079E+05
0133  1.16656927E+11  7.63082077E+07  4.04483624E-11  7.04050184E+05
0134  1.17114644E+11  7.67868748E+07  3.98826367E-11  6.94289505E+05
0135  1.17574157E+11  7.72639927E+07  3.93271402E-11  6.84672569E+05
0136  1.18035473E+11  7.77395547E+07  3.87816358E-11  6.75196955E+05
0137  1.18498599E+11  7.82135537E+07  3.82458935E-11  6.65860295E+05
0138  1.18963542E+11  7.86859832E+07  3.77196899E-11  6.56660271E+05
0139  1.19430309E+11  7.91568364E+07  3.72028079E-11  6.47594615E+05
0140  1.19898908E+11  7.96261068E+07  3.66950365E-11  6.38661107E+05
0141  1.20369345E+11  8.00937880E+07  3.61961710E-11  6.29857575E+05
0142  1.20841628E+11  8.05598736E+07  3.57060121E-11  6.21181889E+05
0143  1.21315764E+11  8.10243572E+07  3.52243663E-11  6.12631967E+05
0144  1.21791761E+11  8.14872328E+07  3.47510452E-11  6.04205767E+05
0145  1.22269625E+11  8.19484942E+07  3.42858659E-11  5.95901289E+05
0146  1.22749364E+11  8.24081354E+07  3.38286503E-11  5.87716576E+05
0147  1.23230986E+11  8.28661505E+07  3.33792253E-11  5.79649709E+05
0148  1.23714497E+11  8.33225337E+07  3.29374223E-11  5.71698805E+05
0149  1.24199905E+11  8.37772793E+07  3.25030774E-11  5.63862022E+05
0150  1.24687218E+11  8.42303816E+07  3.20760310E-11  5.56137553E+05
0151  1.25176442E+11  8.46818352E+07  3.16561278E-11  5.48523627E+05
0152  1.25667587E+11  8.51316346E+07  3.12432165E-11  5.41018506E+05
0153  1.26160658E+11  8.55797746E+07  3.08371498E-11  5.33620487E+05
0154  1.26655664E+11  8.60262499E+07  3.04377844E-11  5.26327899E+05
0155  1.27152612E+11  8.64710555E+07  3.00449805E-11  5.19139104E+05
0156  1.27651510E+11  8.69141863E+07  2.96586020E-11  5.12052495E+05
0157  1.28152366E+11  8.73556375E+07  2.92785164E-11  5.05066493E+05
0158  1.28655187E+11  8.77954043E+07  2.89045944E-11  4.98179552E+05
0159  1.29159980E+11  8.82334820E+07  2.85367101E-11  4.91390152E+05
0160  1.29666754E+11  8.86698661E+07  2.81747407E-11  4.84696803E+05
0161  1.30175517E+11  8.91045521E+07  2.78185665E-11  4.78098041E+05
0162  1.30686276E+11  8.95375358E+07  2.74680709E-11  4.71592431E+05
0163  1.31199039E+11  8.99688129E+07  2.71231400E-11  4.65178561E+05
0164  1.31713813E+11  9.03983793E+07  2.67836629E-11  4.58855046E+05
0165  1.32230608E+11  9.08262311E+07  2.64495313E-11  4.52620527E+05
0166  1.32749430E+11  9.12523644E+07  2.61206395E-11  4.46473667E+05
0167  1.33270288E+11  9.16767755E+07  2.57968846E-11  4.40413154E+05
