n, dr =  1000  ????
ind   r               v               rho             Er
0121  1.11301876E+11  6.19343142E+07  8.83573760E-11  1.13341360E+06
0122  1.11738582E+11  6.21240902E+07  8.74002672E-11  1.11804037E+06
0123  1.12177001E+11  6.23124789E+07  8.64562574E-11  1.10289388E+06
0124  1.12617141E+11  6.24994969E+07  8.55251014E-11  1.08797034E+06
0125  1.13059007E+11  6.26851600E+07  8.46065603E-11  1.07326599E+06
0126  1.13502607E+11  6.28694841E+07  8.37004012E-11  1.05877718E+06
0127  1.13947948E+11  6.30524846E+07  8.28063973E-11  1.04450032E+06
0128  1.14395036E+11  6.32341767E+07  8.19243276E-11  1.03043188E+06
0129  1.14843878E+11  6.34145751E+07  8.10539763E-11  1.01656843E+06
0130  1.15294481E+11  6.35936947E+07  8.01951333E-11  1.00290658E+06
0131  1.15746853E+11  6.37715496E+07  7.93475935E-11  9.89443025E+05
0132  1.16200999E+11  6.39481540E+07  7.85111567E-11  9.76174513E+05
0133  1.16656927E+11  6.41235218E+07  7.76856279E-11  9.63097863E+05
0134  1.17114644E+11  6.42976665E+07  7.68708165E-11  9.50209952E+05
0135  1.17574157E+11  6.44706015E+07  7.60665365E-11  9.37507720E+05
0136  1.18035473E+11  6.46423400E+07  7.52726063E-11  9.24988162E+05
0137  1.18498599E+11  6.48128948E+07  7.44888488E-11  9.12648336E+05
0138  1.18963542E+11  6.49822787E+07  7.37150907E-11  9.00485350E+05
0139  1.19430309E+11  6.51505041E+07  7.29511628E-11  8.88496372E+05
0140  1.19898908E+11  6.53175832E+07  7.21969000E-11  8.76678621E+05
0141  1.20369345E+11  6.54835283E+07  7.14521407E-11  8.65029368E+05
0142  1.20841628E+11  6.56483510E+07  7.07167272E-11  8.53545936E+05
0143  1.21315764E+11  6.58120631E+07  6.99905051E-11  8.42225697E+05
0144  1.21791761E+11  6.59746761E+07  6.92733237E-11  8.31066073E+05
0145  1.22269625E+11  6.61362012E+07  6.85650355E-11  8.20064533E+05
0146  1.22749364E+11  6.62966496E+07  6.78654961E-11  8.09218591E+05
0147  1.23230986E+11  6.64560321E+07  6.71745647E-11  7.98525809E+05
0148  1.23714497E+11  6.66143596E+07  6.64921031E-11  7.87983793E+05
0149  1.24199905E+11  6.67716427E+07  6.58179763E-11  7.77590191E+05
0150  1.24687218E+11  6.69278917E+07  6.51520522E-11  7.67342694E+05
0151  1.25176442E+11  6.70831169E+07  6.44942014E-11  7.57239036E+05
0152  1.25667587E+11  6.72373285E+07  6.38442974E-11  7.47276990E+05
0153  1.26160658E+11  6.73905363E+07  6.32022162E-11  7.37454370E+05
0154  1.26655664E+11  6.75427502E+07  6.25678365E-11  7.27769029E+05
0155  1.27152612E+11  6.76939799E+07  6.19410395E-11  7.18218856E+05
0156  1.27651510E+11  6.78442347E+07  6.13217087E-11  7.08801780E+05
0157  1.28152366E+11  6.79935242E+07  6.07097302E-11  6.99515765E+05
0158  1.28655187E+11  6.81418575E+07  6.01049922E-11  6.90358811E+05
0159  1.29159980E+11  6.82892437E+07  5.95073854E-11  6.81328953E+05
0160  1.29666754E+11  6.84356918E+07  5.89168025E-11  6.72424260E+05
0161  1.30175517E+11  6.85812105E+07  5.83331384E-11  6.63642836E+05
0162  1.30686276E+11  6.87258087E+07  5.77562901E-11  6.54982815E+05
0163  1.31199039E+11  6.88694948E+07  5.71861566E-11  6.46442366E+05
0164  1.31713813E+11  6.90122773E+07  5.66226390E-11  6.38019687E+05
0165  1.32230608E+11  6.91541646E+07  5.60656401E-11  6.29713010E+05
